"WAP1","WAP2","WAP3","WAP4","WAP5","WAP6","WAP7","WAP8","WAP9","WAP10","WAP11","WAP12","WAP13","WAP14","WAP15","WAP16","WAP17","WAP18","WAP19","WAP20","WAP21","WAP22","WAP23","WAP24","WAP25","WAP26","WAP27","WAP28","WAP29","WAP30","WAP31","WAP32","WAP33","WAP34","WAP35","WAP36","WAP37","WAP38","WAP39","WAP40","WAP41","WAP42","WAP43","WAP44","WAP45","WAP46","WAP47","WAP48","WAP49","WAP50","WAP51","WAP52","WAP53","WAP54","WAP55","WAP56","WAP57","WAP58","WAP59","WAP60","WAP61","WAP62","WAP63","WAP64","WAP65","WAP66","WAP67","WAP68","WAP69","WAP70","WAP71","WAP72","WAP73","WAP74","WAP75","WAP76","WAP77","WAP78","WAP79","WAP80","WAP81","WAP82","WAP83","WAP84","WAP85","WAP86","WAP87","WAP88","WAP89","WAP90","WAP91","WAP92","WAP93","WAP94","WAP95","WAP96","WAP97","WAP98","WAP99","WAP100","WAP101","WAP102","WAP103","WAP104","WAP105","WAP106","WAP107","WAP108","WAP109","WAP110","WAP111","WAP112","WAP113","WAP114","WAP115","WAP116","WAP117","WAP118","WAP119","WAP120","WAP121","WAP122","WAP123","WAP124","WAP125","WAP126","WAP127","WAP128","WAP129","WAP130","WAP131","WAP132","WAP133","WAP134","WAP135","WAP136","WAP137","WAP138","WAP139","WAP140","WAP141","WAP142","WAP143","WAP144","WAP145","WAP146","WAP147","WAP148","WAP149","WAP150","WAP151","WAP152","WAP153","WAP154","WAP155","WAP156","WAP157","WAP158","WAP159","WAP160","WAP161","WAP162","LONGITUDE","LATITUDE"
-78,-64,-63,-64,-62,-65,-67,-69,-74,-74,-76,-90,-89,-70,-69,100,-87,-61,-61,-84,-88,100,100,-84,100,100,100,-89,100,-78,100,-78,-75,100,-88,100,-90,-91,100,100,-77,-77,-86,-90,-86,100,100,100,100,100,100,100,100,100,100,-90,100,100,100,100,-85,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2.39,0
-77,-62,-59,-64,-63,-84,-68,-66,-77,-78,-77,100,100,-69,100,100,100,-63,-62,-75,-88,100,100,-85,100,100,100,-89,-82,-76,-72,-77,-69,-59,-88,100,-89,-90,-84,100,-73,-73,-86,-90,-87,100,100,-83,100,100,100,100,100,100,100,-90,100,100,100,100,-85,-86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2.39,0
-77,-59,-58,-61,-61,-66,-68,-68,-83,-83,-76,-89,-90,-71,-76,-82,-88,-60,-60,-79,-88,-81,100,-85,100,100,100,-89,-82,-76,-72,-77,-68,-65,-91,100,-88,-88,-84,100,-70,-69,-87,-87,-86,100,100,-82,100,100,100,-91,-92,100,100,-87,100,100,100,100,-82,-83,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2.39,0
-77,-58,-62,-65,-59,-78,-68,-65,-82,-82,-76,-91,-91,-68,-76,-83,-89,-59,-59,-78,-85,-81,100,-85,100,100,100,-88,-85,-75,100,-77,-70,-57,-87,100,-89,-89,-84,100,-75,-74,-85,-88,-84,100,100,-82,-87,100,100,-91,-92,100,100,-89,100,100,100,100,-85,-86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2.39,0
-77,-57,-62,-58,-59,-66,100,-64,-81,-80,100,-91,-90,-68,100,-83,-88,-65,-64,-78,-86,100,100,-84,100,100,100,-86,-85,-75,100,-77,-74,-69,-86,100,-89,-90,100,100,-75,-74,-85,-86,-85,100,100,-83,-87,100,100,100,100,100,100,-89,100,100,100,-90,-83,-84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2.39,0
-78,100,-62,-65,-64,-78,-79,-70,-80,-80,-72,100,100,-71,-66,100,-88,-67,-67,-78,-85,100,100,-85,-85,100,100,100,-83,-76,-70,-80,-75,100,100,100,-90,-89,100,100,-79,-79,-86,-88,-86,100,100,100,100,100,100,100,100,100,100,-88,100,100,100,100,-87,-86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,3.39,0
-78,-65,-65,-65,-65,-83,-83,-71,-81,-81,-72,100,100,-72,-72,100,100,-68,-67,-75,-85,100,100,-87,100,100,100,100,100,100,-69,100,-90,-59,100,100,-89,-89,-85,100,-78,-78,-85,100,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-86,-86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,3.39,0
-78,-64,-67,-65,-64,-82,-82,-71,-79,-79,-72,100,100,-71,-74,100,-87,-69,-69,-83,-88,100,100,-87,100,100,100,-86,100,100,-69,100,-77,-56,-87,100,-90,-89,-85,100,-77,-77,-86,100,-85,100,100,100,-89,100,100,100,100,100,100,100,100,100,100,100,-87,-86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,3.39,0
-80,-64,-68,-64,-64,-82,-82,-71,-81,-81,-75,100,100,-71,-73,-88,-88,-69,-69,-84,-88,-87,100,100,100,100,100,-86,100,100,100,100,-67,-56,-87,100,-90,-90,100,100,-78,-78,-86,100,-85,100,100,100,-89,100,100,100,100,100,100,100,100,100,100,100,-86,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,3.39,0
-80,-64,-67,-63,-63,-83,-81,-70,-81,-81,-75,100,100,-72,-76,-88,-88,-69,-69,-85,-85,-87,100,-86,100,100,100,100,100,-82,100,-79,-65,100,100,100,-89,-90,100,-89,-77,-77,-85,-91,-85,100,100,100,100,100,100,100,100,100,100,-91,100,100,100,100,-85,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,3.39,0
100,-62,-68,-65,-58,-70,-69,-68,-75,-75,-77,100,100,-68,-77,100,100,-61,-61,-79,-80,100,100,-80,100,100,100,-80,-82,-77,100,-65,-67,-50,-80,-76,-87,-88,100,100,-78,-78,-86,100,-85,100,-85,-85,100,100,100,100,100,100,100,100,100,100,100,100,-84,-90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-89,100,-89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.4,1.09
100,-63,-70,-63,-60,-78,-72,-69,-75,-75,100,-91,100,100,-72,-84,100,-61,-61,-79,-82,-82,100,-80,100,100,100,-79,100,100,100,-65,-75,-52,-79,-76,-87,-87,100,-90,-77,-77,-86,100,-86,100,-85,-85,100,100,100,100,100,100,100,100,100,100,100,100,-89,-89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.4,1.09
100,-62,-63,-64,-63,-78,-73,-74,-76,-76,100,-91,100,-69,-75,-84,-87,-61,-61,-82,-81,-82,100,-80,100,100,-82,-78,100,100,100,-65,-74,-52,-78,-75,-87,-87,100,-88,-79,-78,-84,-89,-84,100,-85,-85,100,100,100,100,100,100,100,-89,100,100,100,100,-90,-90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.4,1.09
100,-62,-62,-61,-61,-76,-73,-69,-78,-78,100,100,100,-68,-69,-84,-80,-62,-62,-81,-84,-82,100,-80,100,100,-83,-81,100,100,100,100,-74,100,-80,-75,-90,-91,100,-88,-77,-77,-85,-89,-84,100,100,-87,100,100,100,100,100,100,100,-89,100,100,100,100,-88,-90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.4,1.09
100,-62,-62,-64,-62,-74,-72,-73,-78,-77,-74,100,100,-69,-72,-81,-84,-60,-60,-81,-81,-81,100,-79,100,100,-83,-81,-85,100,100,100,100,100,-80,100,-88,-88,100,-88,-77,-77,-88,-90,-88,100,100,-87,100,100,100,100,100,100,100,-90,100,100,100,100,-88,-89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.4,1.09
100,-62,-66,-57,-57,-75,-65,-59,-74,-74,-80,-90,100,-67,-73,100,-88,-59,-59,-75,-83,100,100,-82,-82,100,100,-87,100,100,-63,100,-64,-63,-86,100,-86,-87,100,100,-73,-72,-82,-90,-83,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-87,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1.4,1.09
100,-61,-67,-58,-58,-69,-68,-59,-83,-83,-75,-90,100,-66,-72,100,-88,-60,-59,-73,-81,-79,100,-82,-82,100,100,-87,100,100,-63,100,-64,-59,-86,-83,-89,-89,100,100,-79,-80,-82,-88,-82,100,100,100,100,100,100,100,100,100,100,-88,100,100,100,100,-84,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1.4,1.09
-80,-64,-69,-60,-60,-67,-68,-58,-79,-80,-76,-90,100,-65,-74,-81,-89,-59,-59,-73,-84,-79,100,-81,-82,100,-84,-87,100,100,-63,100,-63,-59,-86,-83,-90,-89,100,-86,-79,-80,-82,-89,-82,100,100,100,100,100,100,100,100,100,100,-88,100,100,100,100,-85,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1.4,1.09
-80,-64,-67,-61,-60,-69,-67,-59,-80,-80,-78,100,100,-65,-75,-81,-89,-60,-60,-72,-84,-79,100,-80,-83,100,-84,-87,100,-77,100,-77,-65,100,-87,100,-90,-92,100,-86,-77,-77,-82,-87,-82,100,100,100,100,100,100,100,100,100,100,-87,100,100,100,100,-85,-84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1.4,1.09
-80,-62,-64,-58,-57,-67,-69,-57,-76,-76,-75,-91,-91,-63,-75,100,-89,-60,-60,-68,-89,100,100,-81,-83,100,100,-87,100,-81,-66,-79,-65,-57,-87,100,-90,-90,100,100,-77,-77,-82,-87,-82,100,100,100,100,100,100,100,100,100,100,-88,100,100,100,100,-84,-84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1.4,1.09
-78,-59,-62,-57,-53,-76,-73,-72,-80,-80,100,100,-92,-65,-65,-83,-85,-70,-69,-75,-83,-80,100,-82,100,100,-88,-84,100,-77,100,100,-65,100,-84,100,-89,-91,100,-90,-84,-84,-89,-87,-88,100,100,-86,100,100,100,100,100,100,100,-87,100,100,100,100,-86,-86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2.39,1.09
100,-59,-68,-56,-56,-76,-73,-70,-80,-81,100,100,100,-69,-68,100,-86,-69,-69,-76,-83,100,100,-82,100,-90,100,-84,100,100,100,100,100,-53,-85,-81,-93,-92,100,100,-83,-84,-89,100,-90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-85,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2.39,1.09
100,-59,-67,-60,-59,-80,-75,-72,-80,-80,100,100,100,-69,-68,100,-86,-69,-69,-74,-85,100,100,-82,100,-90,100,-83,100,100,100,-72,100,-53,-83,-81,-91,-92,100,100,-85,-85,-87,100,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-86,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2.39,1.09
